asset,horizon,model,mae,rmse,directional_accuracy,interval_coverage,var_breach_rate,band_width,calibration_score,is_selected,is_baseline
ETHUSDT,30D,rolling_vol_baseline,0.055588,0.064784,0.3529,0.8235,0.0588,0.1470,0.5781,FALSE,TRUE
ETHUSDT,30D,historical_mean_baseline,0.067201,0.076322,0.2941,0.9412,0.0000,0.2331,0.2848,FALSE,TRUE
ETHUSDT,30D,ewma,0.083004,0.102598,0.4118,0.4118,0.0588,0.1545,0.1930,FALSE,FALSE
ETHUSDT,30D,garch,0.069401,0.077829,0.2353,0.5294,0.0588,0.1391,0.1802,FALSE,FALSE
ETHUSDT,30D,rolling_mean_baseline,0.093787,0.111441,0.3529,0.2353,0.0588,0.1492,0.1718,FALSE,TRUE
ETHUSDT,30D,xgboost,0.105022,0.139485,0.3529,0.3529,0.1176,0.1285,0.1688,FALSE,FALSE
SPX,1D,xgboost,0.002600,0.002920,0.5625,0.8750,0.0000,0.0103,0.7442,TRUE,FALSE
SPX,1D,garch,0.002460,0.002950,0.3125,0.9375,0.0000,0.0121,0.5695,FALSE,FALSE
SPX,1D,rolling_mean_baseline,0.002601,0.003188,0.2500,0.9375,0.0000,0.0126,0.5560,FALSE,TRUE
SPX,1D,arima,0.002162,0.002729,0.6875,1.0000,0.0000,0.0126,0.5210,FALSE,FALSE
SPX,1D,last_price_baseline,0.002328,0.002864,0.3750,1.0000,0.0000,0.0126,0.4576,FALSE,TRUE
SPX,1D,rolling_vol_baseline,0.002328,0.002864,0.3750,1.0000,0.0000,0.0126,0.4576,FALSE,TRUE
SPX,1D,historical_mean_baseline,0.002489,0.002966,0.3125,1.0000,0.0000,0.0148,0.4435,FALSE,TRUE
SPX,1D,ewma,0.002777,0.003251,0.0625,1.0000,0.0000,0.0131,0.3924,FALSE,FALSE
SPX,3D,ewma,0.006065,0.008103,0.3125,0.8125,0.1250,0.0227,0.7964,TRUE,FALSE
SPX,3D,xgboost,0.007434,0.009306,0.5625,0.7500,0.1250,0.0179,0.7657,FALSE,FALSE
